Rank 1,Monly listeners,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20
Taylor Swift,"109,775,789",,,,,,,,,,,,,,,,,,,
,"107,116,138",The Weeknd,,,,,,,,,,,,,,,,,,
,"86,477,771",,Justin Bieber,,,,,,,,,,,,,,,,,
,"85,866,840",,,Ariana Grande,,,,,,,,,,,,,,,,
,"82,972,372",,,,Drake,,,,,,,,,,,,,,,
,"80,423,896",,,,,Ed Sheeran,,,,,,,,,,,,,,
,"78,036,798",,,,,,Rihanna,,,,,,,,,,,,,
,"77,482,081",,,,,,,Bad Bunny,,,,,,,,,,,,
,"74,440,070",,,,,,,,Coldplay,,,,,,,,,,,
,"71,525,069",,,,,,,,,Dua Lipa,,,,,,,,,,
,"70,829,547",,,,,,,,,,Sia,,,,,,,,,
,"69,890,128",,,,,,,,,,,Mariah Carey,,,,,,,,
,"68,881,776",,,,,,,,,,,,Marshmello,,,,,,,
,"68,720,358",,,,,,,,,,,,,Eminem,,,,,,
,"68,574,925",,,,,,,,,,,,,,David Guetta,,,,,
,"66,265,612",,,,,,,,,,,,,,,Doja Cat,,,,
,"65,835,842",,,,,,,,,,,,,,,,Bruno Mars,,,
,"64,567,890",,,,,,,,,,,,,,,,,SZA,,
,"64,138,010",,,,,,,,,,,,,,,,,,Billie Eilish,
,"63,052,409",,,,,,,,,,,,,,,,,,,Kanye West
